Isolate,Order,Genus,Spieces,aaiC,aap,aar,aatA,agg,ailA,air,astA,capU,cba,cdtB,celb,cif,cma,cnf1,eae,efa1,ehxA,eilA,esp,etpD,f17,gad,iha,IpfA,ireA,iroN,iss,katP,ltcA,mch,mcmA,nle,pic,sat,senB,sepA,sfaS,stx,tccP,tir,vat
24742_1#68,Didelphimorphia,Didelphis,Didelphis virginiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24742_1#69,Carnivora,Felis,Felis catus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#70,Didelphimorphia,Didelphis,Didelphis virginiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#71,Carnivora,Puma,Felis concolor,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#73,Rodentia,Oryzomys,Oryzomys sp.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#74,Carnivora,Puma,Felis concolor,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
24742_1#75,Rodentia,Mus,Mus musculus,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,4,0,0,1,1,1,0,0,1,1,0,0,0,4,0,0,0,1,0,0,0,1,0
24742_1#76,Rodentia,Oryzomys,Oryzomys sp.,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#78,Galliformes,Gallus,Gallus gallus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
24742_1#79,Rodentia,Heteromys,Liomys pictus,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24742_1#82,Rodentia,Dipodomys,Dipodomys merriami,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24742_1#83,Rodentia,Habromys,Habromys sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#84,Rodentia,Heteromys,Liomys pictus,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24742_1#85,Chiroptera,Choeronycteris,Choeronycteris mexicana,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#86,Rodentia,Dipodomys,Dipodomys merriami,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24742_1#88,Artiodactyla,Ovis,Ovis aries,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,4,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,0
25964_1#102,Rodentia,Habromys,Habromys sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#103,Primates,Homo,Homo sapiens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#104,Primates,Alouatta,Alouatta palliata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25964_1#108,Chiroptera,Desmodus,Desmodus rotundus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25964_1#112,Primates,Alouatta,Alouatta palliata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
