Sample ID,Number of contigs,N50 value,Number of total reads,% of reads Unclassified,% of reads Escherichia.coli,Continet of isolation,Country of isolation,Host spieces,DataBase,Date of isolation,Ampicillin,Cefotaxime,Ceftazidime,Cefuroxime,Cephalothin,Ciprofloxacin,Gentamycin,Tobramycin,Trimethoprim
25964_1#231,58,8,1283853,3.82,49.91,North America,Mexico,Perognathus penicillatus,Souza,1999,S,S,S,S,S,S,S,S,S
25964_1#232,136,20,1155464,1.6,51.38,NF,NF,Tamandua mexicana,Souza,1999,S,S,S,S,S,S,S,S,S
25964_1#238,42,3,1253933,3.71,80.86,North America,Mexico,Atlapetes brunneinucha,Souza,1999,S,S,S,S,S,S,S,S,S
25964_1#239,38,5,1195628,3.57,47.37,North America,Mexico,Peromyscus sp. ,Souza,1999,R,S,S,S,S,S,S,S,S
25964_1#247,120,18,1263433,3.27,55.48,North America,Mexico,Procyon lotor ,Souza,1999,S,S,S,S,S,S,S,S,S
25964_1#263,48,8,1182586,2.62,49.63,North America,Mexico,Procyon lotor ,Souza,1999,R,S,S,S,S,S,S,S,S
25964_1#264,89,12,1170854,1.96,54.91,NF,NF,Tamandua mexicana,Souza,1999,S,S,S,S,S,S,S,S,S
25964_1#273,65,8,1082705,1.62,49.17,North America,Mexico,Urocyon cinereoargenteus,Souza,1999,R,S,S,S,S,S,S,S,S
25964_1#279,86,9,1056159,4.13,50.52,North America,Mexico,Romerolagus diazi ,Souza,1999,R,S,S,S,S,S,S,S,S
25964_1#280,23,4,1035548,1.93,87.46,North America,Mexico,Tursiops truncatus ,Souza,1999,R,S,S,S,S,S,S,S,S
25964_1#289,35,4,995242,1.68,88.7,North America,Mexico,Bassariscus astutus,Souza,1999,S,S,S,S,S,S,S,S,S
25964_1#329,41,7,987711,0.78,50.07,North America,Mexico,Canis familiaris,Souza,1999,R,S,S,S,S,S,S,S,S
25964_1#97,40,3,1064787,0.44,49.1,North America,Mexico,Bassariscus astutus,Souza,1999,R,S,S,S,S,S,S,S,S
25964_1#98,35,4,1145200,1.61,88.82,NF,NF,Bassariscus astutus,Souza,1999,S,S,S,S,S,S,S,S,S
25964_1#99,167,19,1186434,8.72,50.34,North America,Mexico,Canis familiaris,Souza,1999,R,S,S,S,S,S,S,S,S
27970_1#122,44,4,989084,1.18,80.43,North America,Mexico,Canis latrans,Souza,1999,R,S,S,S,S,S,R,R,S
27970_1#156,40,4,1084815,1.21,81.81,North America,Mexico,Canis latrans,Souza,1999,R,S,S,S,S,S,R,R,S
27970_1#188,31,4,1013684,4.04,46.14,North America,Mexico,Dipodomys merriami ,Souza,1999,R,S,S,S,S,S,S,S,S
27970_1#218,232,37,958011,3.29,30.34,NF,NF,Equus ferus,Souza,1999,R,S,S,S,S,S,S,S,S
27970_1#250,40,6,1088702,2.4,48.6,North America,Mexico,Oryctolagus cuniculus ,Souza,1999,R,S,R,S,S,S,S,S,S
27970_1#28,35,4,895820,1.86,88.38,North America,Mexico,Bassariscus astutus,Souza,1999,S,S,S,S,S,S,S,S,S
27970_1#310,117,20,967855,1.84,53.87,NF,NF,Artibeus sp. ,Souza,1999,S,S,S,S,S,S,S,S,S
27970_1#342,109,7,908162,3.31,78.76,North America,Mexico,Ateles geoffroyi,Souza,1999,R,S,S,S,S,S,S,S,S
27970_1#362,24,4,994522,3.63,78.41,North America,Mexico,Panthera onca ,Souza,1999,R,S,S,S,S,S,S,S,S
27970_1#374,66,10,1055350,2.31,50.03,North America,Mexico,Baiomys musculus,Souza,1999,R,S,S,S,S,S,S,S,S
27970_1#90,22,4,893774,1.86,88.35,North America,Mexico,Bos taurus,Souza,1999,R,S,S,S,S,S,S,S,S
27970_2#101,35,4,918043,3.67,72.54,North America,Mexico,Tadarida brasiliensis,Souza,1999,S,S,S,S,S,S,S,S,S
27970_2#189,81,7,948772,3.93,82.52,North America,Mexico,Peromyscus megalops,Souza,1999,S,S,S,S,S,S,S,S,S
27970_2#194,22,3,938618,29.39,0.6,NF,NF,Sus scrofa domesticus,Souza,1999,R,S,R,S,R,S,S,S,S
27970_2#201,21,1,889286,20.55,0.37,North America,Mexico,Tadarida brasiliensis,Souza,1999,R,R,R,R,R,R,R,S,S
27970_2#217,20,4,1112589,1.82,88.55,North America,Mexico,Tursiops truncatus ,Souza,1999,R,S,S,S,S,S,S,S,S
27970_2#9,25,3,946886,3.74,78.54,North America,Mexico,Panthera onca,Souza,1999,R,S,S,S,S,S,S,S,S
